city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
410,thunder bay,75,CA,1570153796,86,48.41,-89.26,277.15,2.1
411,comarapa,100,BO,1570154080,71,-17.91,-64.53,289.716,1.87
412,guerrero negro,0,MX,1570154080,78,27.97,-114.04,292.956,6.15
413,nautanwa,0,NP,1570154081,75,27.43,83.42,299.816,0.67
414,belle fourche,1,US,1570154082,66,44.67,-103.85,283.15,5.7
415,yinchuan,51,CN,1570154000,66,38.48,106.21,283.71,2.92
416,eyl,28,SO,1570154085,91,7.98,49.82,296.356,1.46
417,carballo,75,ES,1570154086,93,43.21,-8.69,291.48,2.51
418,chibombo,0,ZM,1570154088,90,-14.68,28.09,289.756,3.06
419,deulgaon raja,89,IN,1570154089,77,20.02,76.04,298.146,2.54
420,yizheng,7,CN,1570154089,78,24.67,103.43,297.04,2.04
421,tabuk,45,PH,1570154090,83,17.41,121.44,296.266,0.6
422,kropotkin,0,RU,1570154092,72,45.43,40.58,290.93,1.63
423,piracaia,20,BR,1570154093,82,-23.05,-46.36,291.15,2.1
424,muros,75,ES,1570154094,100,42.77,-9.06,290.37,0.5
425,longyearbyen,75,NO,1570153970,86,78.22,15.63,274.15,2.1
426,port-gentil,100,GA,1570153927,82,-0.72,8.78,299.036,7.22
427,rybinsk,100,RU,1570154096,87,58.05,38.83,284.946,4.79
428,keti bandar,36,PK,1570154096,78,24.14,67.45,300.986,6.9
429,galle,100,GN,1570154097,98,10.08,-12.83,294.136,0.19
430,picos,88,BR,1570154098,35,-7.08,-41.47,301.266,1.26
431,morondava,0,MG,1570154099,74,-20.3,44.28,298.756,4.56
432,waingapu,0,ID,1570154099,34,-9.65,120.26,304.196,7.32
433,okahandja,0,NA,1570154100,20,-21.98,16.91,288.15,2.17
434,oistins,40,BB,1570154101,78,13.07,-59.53,301.15,3.6
435,port-cartier,20,CA,1570154030,69,50.03,-66.88,274.15,3.1
436,polson,90,US,1570154101,53,47.69,-114.16,284.15,1.5
437,sisimiut,50,GL,1570154102,63,66.94,-53.67,278.696,3.14
438,myshkin,100,RU,1570154103,91,57.78,38.45,284.346,4.35
439,cockburn town,100,TC,1570154105,74,21.46,-71.14,301.816,2.91
440,lavrentiya,100,RU,1570154107,97,65.58,-170.99,276.286,4.52
441,esperance,90,AU,1570154108,87,-33.86,121.89,287.15,6.2
442,gornyak,0,KZ,1570154110,27,51.0,81.46,281.666,1.59
443,kalakamati,12,BW,1570154110,74,-20.59,27.31,289.576,3.67
444,biloela,0,AU,1570154111,22,-24.4,150.51,301.236,4.74
445,beberibe,75,BR,1570154112,74,-4.18,-38.13,300.15,6.2
446,kita,20,JP,1570154113,83,35.76,139.74,300.93,9.3
447,saint-joseph,0,FR,1570154113,81,43.56,6.97,289.15,1.0
448,jumla,0,NP,1570154114,69,29.28,82.18,287.056,0.74
449,takoradi,100,GH,1570154114,97,4.89,-1.75,296.226,1.89
450,wanaka,92,NZ,1570154115,41,-44.7,169.14,289.26,2.68
451,balvi,89,LV,1570154115,97,57.13,27.27,275.906,1.82
452,san rafael del sur,40,NI,1570154116,88,11.85,-86.44,299.15,2.1
453,sobolevo,100,RU,1570154117,91,54.43,31.9,281.256,5.32
454,talcahuano,0,CL,1570153884,76,-36.72,-73.12,283.15,3.6
455,kailua,90,US,1570153903,69,21.39,-157.74,304.15,2.1
456,egvekinot,100,RU,1570154119,96,66.32,-179.17,271.196,2.73
457,dunedin,100,NZ,1570153959,55,-45.87,170.5,288.71,6.71
458,iwanai,100,JP,1570154121,91,42.97,140.51,289.546,3.22
459,traverse city,90,US,1570154067,82,44.76,-85.62,287.15,2.6
460,berdigestyakh,100,RU,1570153993,81,62.1,126.7,272.356,3.0
461,kungurtug,0,RU,1570153852,38,50.6,97.53,277.286,0.3
462,oxford,1,US,1570154126,78,33.61,-85.83,300.37,1.81
463,sangar,100,RU,1570154128,51,63.92,127.47,270.376,4.62
464,jasper,1,US,1570153928,73,33.83,-87.28,303.15,1.96
465,kahului,20,US,1570154128,62,20.89,-156.47,302.59,9.3
